Job Title,Average Salary,Headquarters,Size,Type of ownership,Industry
Data Scientist ,97,"San Francisco, CA",501 to 1000 employees,Private,Real Estate
Data Scientist,97,"Woodbridge, NJ",51 to 200 employees,Private,IT Services
Data Scientist,97,"Chennai, India",1001 to 5000 employees,Private,IT Services
Data Scientist,97,"Tel Aviv-Yafo, ISeniorael",51 to 200 employees,Private,Transportation Equipment Manufacturing
Machine Learning Engineer,97,"Arlington, VA",501 to 1000 employees,Nonprofit Organization,Federal Agencies
Equity Data Insights Analyst ,97,"Baltimore, MD",5001 to 10000 employees,Public,Investment Banking & Asset Management
Data Scientist,97,"Manalapan, NJ",1 to 50 employees,Private,IT Services
Research Scientist ,97,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals
Data Scientist,97,"Lynchburg, VA",5001 to 10000 employees,Public,Aerospace & Defense
Operations Data Analyst,97,"Charlotte, NC",1001 to 5000 employees,Public,Insurance Carriers
Senior Data Scientist II,97,"Hamilton, Bermuda",1001 to 5000 employees,Public,Insurance Carriers
Data Scientist,97,"Saxonburg, PA",10000+ employees,Public,Telecommunications Manufacturing
Data Scientist,97,"Bristol, PA",1 to 50 employees,Private,Computer Hardware & Software
Data Scientist,97,"San Jose, CA",10000+ employees,Public,Internet
Senior Data Analyst,97,"San Francisco, CA",51 to 200 employees,Public,Internet
Data Scientist,97,"Bangalore, India",1 to 50 employees,Private,Consulting
Data Scientist,107,"Atlanta, GA",51 to 200 employees,Private,Computer Hardware & Software
Senior Research Statistician,107,"Sheboygan, WI",1001 to 5000 employees,Private,Insurance Carriers
Software Data Engineer,107,"New York, NY",201 to 500 employees,Private,Computer Hardware & Software
Data Scientist,107,"Mountain View, CA",201 to 500 employees,Private,Enterprise Software & Network Solutions
Real World Evidence Scientist,107,"Hoboken, NJ",1 to 50 employees,Private,Biotech & Pharmaceuticals
Data Scientist,107,"Paris, France",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,107,"Greenwich, CT",10000+ employees,Public,Transportation Management
Data Scientist,107,"Santa Ana, CA",51 to 200 employees,Private,Insurance Carriers
Data Scientist,107,"Houston, TX",1 to 50 employees,Private,N/A
Computer Scientist,107,"Tucson, AZ",201 to 500 employees,Private,Aerospace & Defense
Lead Data Scientist,107,"Springfield, MA",5001 to 10000 employees,Private,Insurance Carriers
Data Scientist,107,"Birmingham, AL",1 to 50 employees,Private,N/A
Data Scientist,107,"Cleveland, OH",10000+ employees,Public,Industrial Manufacturing
Data Scientist,107,"Washington, DC",1001 to 5000 employees,Private,Consulting
Data Scientist,107,"New York, NY",201 to 500 employees,Private,News Outlet
Data Scientist,107,"Pleasanton, CA",201 to 500 employees,Private,IT Services
Environmental Data Science,107,"Columbus, OH",10000+ employees,Nonprofit Organization,Research & Development
Computational Behavioral Scientist,107,"Herndon, VA",201 to 500 employees,Private,IT Services
Data Scientist,107,N/A,N/A,N/A,N/A
Data Engineer,107,"New York, NY",51 to 200 employees,Private,Advertising & Marketing
Principal Machine Learning Scientist,107,"San Jose, CA",501 to 1000 employees,Subsidiary or Business Segment,Computer Hardware & Software
Principal Data Scientist ,107,"Waltham, MA",N/A,Subsidiary or Business Segment,Advertising & Marketing
Data Scientist,120,"Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense
Associate Data Scientist,120,"Bellevue, WA",1001 to 5000 employees,Private,Utilities
Data Scientist ,120,"Richland, WA",1001 to 5000 employees,Government,Energy
Director of Data Science,120,"Boston, MA",1001 to 5000 employees,Private Firm,Consulting
Data Scientist,120,"Rockville, MD",1001 to 5000 employees,Nonprofit Organization,Biotech & Pharmaceuticals
Data Scientist,120,"Piscataway, NJ",201 to 500 employees,Private,IT Services
Data Scientist,120,"San Jose, CA",10000+ employees,Public,Internet
Data Engineer,120,"New York, NY",1 to 50 employees,Private,Enterprise Software & Network Solutions
Data Engineer,120,"Mountain View, CA",51 to 200 employees,Private,IT Services
Manager  Lead,120,"Danvers, MA",1001 to 5000 employees,Public,Biotech & Pharmaceuticals
Data Scientist,120,"Philadelphia, PA",10000+ employees,Public,N/A
Data Scientist,120,"Fairfax, VA",51 to 200 employees,Private,IT Services
Data Scientist,120,"Jersey City, NJ",N/A,Public,N/A
Data Scientist,120,"Livermore, CA",1001 to 5000 employees,Government,Federal Agencies
Data Analyst,120,"Pittsburgh, PA",201 to 500 employees,Private,Banks & Credit Unions
Data Scientist,120,"Dallas, TX",10000+ employees,Public,Architectural & Engineering Services
Data Scientist,120,"Boston, MA",201 to 500 employees,Private,Computer Hardware & Software
Data Scientist,120,"Northbrook, IL",10000+ employees,Private,Consulting
Data Scientist,120,"Toronto, Canada",1001 to 5000 employees,Public,Real Estate
Data Scientist,120,"Irvine, CA",51 to 200 employees,Private,Staffing & Outsourcing
Data Scientist,120,"Hillsborough, NJ",N/A,Private,N/A
Data Scientist,183,"Santa Monica, CA",501 to 1000 employees,Private,Internet
Data Scientist,183,"Boston, MA",1 to 50 employees,Private,IT Services
Data Scientist,183,"Hillsborough, NJ",N/A,Private,N/A
Senior Data Scientist ,183,"Cambridge, United Kingdom",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,183,"Oshkosh, WI",10000+ employees,Public,Transportation Equipment Manufacturing
Data Scientist,183,"Santa Cruz, CA",51 to 200 employees,Private,N/A
Data Scientist,183,"Pittsburgh, PA",51 to 200 employees,Private,Architectural & Engineering Services
Data Scientist,183,"Fremont, CA",51 to 200 employees,Private,N/A
Data Scientist,183,"Hillsborough, NJ",201 to 500 employees,Private,Staffing & Outsourcing
Data Scientist  Machine,183,"Reston, VA",10000+ employees,Public,Aerospace & Defense
Data Scientist,183,"New York, NY",1001 to 5000 employees,Public,Video Games
Data Scientist,183,"Monroe, WI",501 to 1000 employees,Private,Food & Beverage Stores
Data Scientist,183,"Goteborg, Sweden",10000+ employees,Hospital,Health Care Services & Hospitals
Data Scientist,183,"New York, NY",1 to 50 employees,Private,Other Retail Stores
Data Analyst,183,"Washington, DC",1 to 50 employees,Private,IT Services
Data Scientist,183,"Lake Buena Vista, FL",1001 to 5000 employees,Private,"Hotels, Motels, & Resorts"
Data Scientist,183,"Schaffhausen, Switzerland",10000+ employees,Public,Electrical & Electronic Manufacturing
Data Scientist,183,"Richmond, VA",10000+ employees,Government,State & Regional Agencies
Data Scientist,183,"Newark, CA",501 to 1000 employees,Private,Computer Hardware & Software
Data Scientist,183,"Greensboro, NC",501 to 1000 employees,Private,Other Retail Stores
Data Scientist,185,"San Francisco, CA",51 to 200 employees,Private,Computer Hardware & Software
Data Scientist,185,"Falls Church, VA",51 to 200 employees,Private,Federal Agencies
Chief Scientist,185,"San Francisco, CA",51 to 200 employees,Private,Enterprise Software & Network Solutions
Data Scientist,185,"Rockville, MD",201 to 500 employees,Private,IT Services
Data Scientist,185,"Scottsdale, AZ",1 to 50 employees,Private,IT Services
Data Scientist,185,"Irving, TX",N/A,Public,N/A
Data Scientist,185,"Beltsville, MD",5001 to 10000 employees,Private,Aerospace & Defense
Data Scientist,185,"Houston, TX",51 to 200 employees,Private,IT Services
Health Plan Data Analyst,185,"Fort Worth, TX",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals
Principal ScientistAssociate Director,185,"Cambridge, MA",201 to 500 employees,Public,Biotech & Pharmaceuticals
Data Scientist,185,"Toronto, Canada",201 to 500 employees,Public,Financial Transaction Processing
Senior Data Scientist,185,"San Francisco, CA",201 to 500 employees,Private,Insurance Carriers
Data Scientist,185,"Paris, France",1001 to 5000 employees,Public,Internet
Data Scientist,185,"Pittsburgh, PA",51 to 200 employees,Private,N/A
Data Scientist,185,"Naperville, IL",51 to 200 employees,Private,Staffing & Outsourcing
Analytics Manager,185,"Cedar Rapids, IA",501 to 1000 employees,Private,Lending
